payment_id,order_id,amount,status,method,fee,tax,customer_email,created_at,settlement_id
PAY_0001_00,ORD_PAY_0001_00,63112,captured,netbanking,1046,188,user_pay_0001_00@example.com,2026-08-15,SETL_0001
PAY_0002_00,ORD_PAY_0002_00,66663,captured,upi,0,0,user_pay_0002_00@example.com,2026-08-15,SETL_0002
PAY_0002_01,ORD_PAY_0002_01,164629,captured,upi,0,0,user_pay_0002_01@example.com,2026-08-16,SETL_0002
PAY_0002_02,ORD_PAY_0002_02,365631,captured,upi,0,0,user_pay_0002_02@example.com,2026-08-16,SETL_0002
PAY_0002_03,ORD_PAY_0002_03,154248,captured,netbanking,2413,434,user_pay_0002_03@example.com,2026-08-16,SETL_0002
PAY_0003_00,ORD_PAY_0003_00,358944,captured,card,7278,1310,user_pay_0003_00@example.com,2026-08-15,SETL_0003
PAY_0003_01,ORD_PAY_0003_01,447833,captured,upi,0,0,user_pay_0003_01@example.com,2026-08-16,SETL_0003
PAY_0003_02,ORD_PAY_0003_02,271571,captured,card,5531,995,user_pay_0003_02@example.com,2026-08-15,SETL_0003
PAY_0003_03,ORD_PAY_0003_03,131516,captured,upi,0,0,user_pay_0003_03@example.com,2026-08-16,SETL_0003
PAY_0004_00,ORD_PAY_0004_00,238208,captured,card,4864,875,user_pay_0004_00@example.com,2026-08-16,SETL_0004
PAY_0005_00,ORD_PAY_0005_00,484846,captured,netbanking,7372,1326,user_pay_0005_00@example.com,2026-08-16,SETL_0005
PAY_0005_01,ORD_PAY_0005_01,239600,captured,netbanking,3694,664,user_pay_0005_01@example.com,2026-08-15,SETL_0005
PAY_0005_02,ORD_PAY_0005_02,419398,captured,upi,0,0,user_pay_0005_02@example.com,2026-08-15,SETL_0005
PAY_0006_00,ORD_PAY_0006_00,498432,captured,upi,0,0,user_pay_0006_00@example.com,2026-08-15,SETL_0006
PAY_0007_00,ORD_PAY_0007_00,244081,captured,card,4981,896,user_pay_0007_00@example.com,2026-08-15,SETL_0007
PAY_0007_01,ORD_PAY_0007_01,401364,captured,card,8127,1462,user_pay_0007_01@example.com,2026-08-16,SETL_0007
PAY_0008_00,ORD_PAY_0008_00,330043,captured,netbanking,5050,909,user_pay_0008_00@example.com,2026-08-15,SETL_0008
PAY_0008_01,ORD_PAY_0008_01,135669,captured,card,2813,506,user_pay_0008_01@example.com,2026-08-15,SETL_0008
PAY_0009_00,ORD_PAY_0009_00,472075,captured,card,9541,1717,user_pay_0009_00@example.com,2026-08-15,SETL_0009
PAY_0010_00,ORD_PAY_0010_00,124905,captured,card,2598,467,user_pay_0010_00@example.com,2026-08-15,SETL_0010
PAY_0010_01,ORD_PAY_0010_01,179303,captured,netbanking,2789,502,user_pay_0010_01@example.com,2026-08-16,SETL_0010
PAY_0010_02,ORD_PAY_0010_02,332579,captured,card,6751,1215,user_pay_0010_02@example.com,2026-08-16,SETL_0010
PAY_0010_03,ORD_PAY_0010_03,356491,captured,card,7229,1301,user_pay_0010_03@example.com,2026-08-16,SETL_0010
PAY_0011_00,ORD_PAY_0011_00,97662,captured,upi,0,0,user_pay_0011_00@example.com,2026-08-15,SETL_0011
PAY_0011_01,ORD_PAY_0011_01,130132,captured,netbanking,2051,369,user_pay_0011_01@example.com,2026-08-15,SETL_0011
PAY_0011_02,ORD_PAY_0011_02,465277,captured,netbanking,7079,1274,user_pay_0011_02@example.com,2026-08-15,SETL_0011
PAY_0011_03,ORD_PAY_0011_03,362690,captured,upi,0,0,user_pay_0011_03@example.com,2026-08-15,SETL_0011
PAY_0012_00,ORD_PAY_0012_00,340049,captured,upi,0,0,user_pay_0012_00@example.com,2026-08-16,SETL_0012
PAY_0012_01,ORD_PAY_0012_01,427865,captured,upi,0,0,user_pay_0012_01@example.com,2026-08-16,SETL_0012
PAY_0012_02,ORD_PAY_0012_02,331527,captured,card,6730,1211,user_pay_0012_02@example.com,2026-08-16,SETL_0012
PAY_0013_00,ORD_PAY_0013_00,132920,captured,card,2758,496,user_pay_0013_00@example.com,2026-08-15,SETL_0013
PAY_0013_01,ORD_PAY_0013_01,428584,captured,netbanking,6528,1175,user_pay_0013_01@example.com,2026-08-15,SETL_0013
PAY_0013_02,ORD_PAY_0013_02,312451,captured,upi,0,0,user_pay_0013_02@example.com,2026-08-16,SETL_0013
PAY_0013_03,ORD_PAY_0013_03,105789,captured,netbanking,1686,303,user_pay_0013_03@example.com,2026-08-15,SETL_0013
PAY_0014_00,ORD_PAY_0014_00,246038,captured,upi,0,0,user_pay_0014_00@example.com,2026-08-16,SETL_0014
PAY_0014_01,ORD_PAY_0014_01,458224,captured,netbanking,6973,1255,user_pay_0014_01@example.com,2026-08-15,SETL_0014
PAY_0015_00,ORD_PAY_0015_00,240306,captured,card,4906,883,user_pay_0015_00@example.com,2026-08-15,SETL_0015
PAY_0016_00,ORD_PAY_0016_00,117314,captured,netbanking,1859,334,user_pay_0016_00@example.com,2026-08-15,SETL_0016
PAY_0016_01,ORD_PAY_0016_01,338255,captured,upi,0,0,user_pay_0016_01@example.com,2026-08-15,SETL_0016
PAY_0017_00,ORD_PAY_0017_00,332746,captured,netbanking,5091,916,user_pay_0017_00@example.com,2026-08-16,SETL_0017
PAY_0017_01,ORD_PAY_0017_01,155461,captured,netbanking,2431,437,user_pay_0017_01@example.com,2026-08-15,SETL_0017
PAY_0018_00,ORD_PAY_0018_00,321358,captured,card,6527,1174,user_pay_0018_00@example.com,2026-08-15,SETL_0018
PAY_0018_01,ORD_PAY_0018_01,179973,captured,upi,0,0,user_pay_0018_01@example.com,2026-08-15,SETL_0018
PAY_0018_02,ORD_PAY_0018_02,227254,captured,upi,0,0,user_pay_0018_02@example.com,2026-08-16,SETL_0018
PAY_0018_03,ORD_PAY_0018_03,340414,captured,upi,0,0,user_pay_0018_03@example.com,2026-08-16,SETL_0018
PAY_0019_00,ORD_PAY_0019_00,319565,captured,upi,0,0,user_pay_0019_00@example.com,2026-08-15,SETL_0019
PAY_0020_00,ORD_PAY_0020_00,429245,captured,netbanking,6538,1176,user_pay_0020_00@example.com,2026-08-16,SETL_0020
PAY_0020_01,ORD_PAY_0020_01,297815,captured,upi,0,0,user_pay_0020_01@example.com,2026-08-15,SETL_0020
PAY_0021_00,ORD_PAY_0021_00,395496,captured,card,8009,1441,user_pay_0021_00@example.com,2026-08-15,SETL_0021
PAY_0022_00,ORD_PAY_0022_00,81778,captured,card,1735,312,user_pay_0022_00@example.com,2026-08-16,SETL_0022
PAY_0023_00,ORD_PAY_0023_00,149724,captured,netbanking,2345,422,user_pay_0023_00@example.com,2026-08-15,SETL_0023
PAY_0023_01,ORD_PAY_0023_01,123495,captured,card,2569,462,user_pay_0023_01@example.com,2026-08-15,SETL_0023
PAY_0024_00,ORD_PAY_0024_00,98896,captured,upi,0,0,user_pay_0024_00@example.com,2026-08-15,SETL_0024
PAY_0025_00,ORD_PAY_0025_00,80741,captured,upi,0,0,user_pay_0025_00@example.com,2026-08-15,SETL_0025
PAY_0025_01,ORD_PAY_0025_01,51130,captured,card,1122,201,user_pay_0025_01@example.com,2026-08-15,SETL_0025
PAY_0025_02,ORD_PAY_0025_02,461078,captured,card,9321,1677,user_pay_0025_02@example.com,2026-08-15,SETL_0025
PAY_0025_03,ORD_PAY_0025_03,271777,captured,netbanking,4176,751,user_pay_0025_03@example.com,2026-08-16,SETL_0025
PAY_0026_00,ORD_PAY_0026_00,149561,captured,card,3091,556,user_pay_0026_00@example.com,2026-08-15,SETL_0026
PAY_0026_01,ORD_PAY_0026_01,80662,captured,netbanking,1309,235,user_pay_0026_01@example.com,2026-08-16,SETL_0026
PAY_0027_00,ORD_PAY_0027_00,79971,captured,upi,0,0,user_pay_0027_00@example.com,2026-08-16,SETL_0027
PAY_0028_00,ORD_PAY_0028_00,313638,captured,netbanking,4804,864,user_pay_0028_00@example.com,2026-08-15,SETL_0028
PAY_0029_00,ORD_PAY_0029_00,316248,captured,upi,0,0,user_pay_0029_00@example.com,2026-08-15,SETL_0029
PAY_0030_00,ORD_PAY_0030_00,361969,captured,upi,0,0,user_pay_0030_00@example.com,2026-08-16,SETL_0030
PAY_0036_00,ORD_PAY_0036_00,257505,captured,upi,0,0,user_pay_0036_00@example.com,2026-08-16,SETL_0036
PAY_0036_01,ORD_PAY_0036_01,388428,captured,card,7868,1416,user_pay_0036_01@example.com,2026-08-15,SETL_0036
PAY_0037_00,ORD_PAY_0037_00,375666,captured,netbanking,5734,1032,user_pay_0037_00@example.com,2026-08-15,SETL_0037
PAY_0037_01,ORD_PAY_0037_01,88409,captured,netbanking,1426,256,user_pay_0037_01@example.com,2026-08-15,SETL_0037
PAY_0038_00,ORD_PAY_0038_00,86066,captured,upi,0,0,user_pay_0038_00@example.com,2026-08-15,SETL_0038
PAY_0038_01,ORD_PAY_0038_01,199415,captured,upi,0,0,user_pay_0038_01@example.com,2026-08-15,SETL_0038
PAY_0039_00,ORD_PAY_0039_00,327317,captured,upi,0,0,user_pay_0039_00@example.com,2026-08-16,SETL_0039
PAY_0039_01,ORD_PAY_0039_01,478397,captured,netbanking,7275,1309,user_pay_0039_01@example.com,2026-08-15,SETL_0039
PAY_0039_02,ORD_PAY_0039_02,397806,captured,upi,0,0,user_pay_0039_02@example.com,2026-08-15,SETL_0039
PAY_0040_00,ORD_PAY_0040_00,340048,captured,upi,0,0,user_pay_0040_00@example.com,2026-08-15,SETL_0040
PAY_0040_01,ORD_PAY_0040_01,197721,captured,netbanking,3065,551,user_pay_0040_01@example.com,2026-08-15,SETL_0040
PAY_0040_02,ORD_PAY_0040_02,426235,captured,card,8624,1552,user_pay_0040_02@example.com,2026-08-15,SETL_0040
PAY_0041_00,ORD_PAY_0041_00,181659,captured,upi,18,3,user_pay_0041_00@example.com,2026-08-15,SETL_0041
PAY_0041_01,ORD_PAY_0041_01,73114,captured,upi,0,0,user_pay_0041_01@example.com,2026-08-15,SETL_0041
PAY_0041_02,ORD_PAY_0041_02,454288,captured,upi,0,0,user_pay_0041_02@example.com,2026-08-16,SETL_0041
PAY_0042_00,ORD_PAY_0042_00,281649,captured,netbanking,4360,784,user_pay_0042_00@example.com,2026-08-16,SETL_0042
PAY_0042_01,ORD_PAY_0042_01,55069,captured,upi,0,0,user_pay_0042_01@example.com,2026-08-15,SETL_0042
PAY_0042_02,ORD_PAY_0042_02,412293,captured,upi,0,0,user_pay_0042_02@example.com,2026-08-16,SETL_0042
PAY_0042_03,ORD_PAY_0042_03,68889,captured,card,1477,265,user_pay_0042_03@example.com,2026-08-16,SETL_0042
PAY_0043_00,ORD_PAY_0043_00,116818,captured,upi,3,0,user_pay_0043_00@example.com,2026-08-15,SETL_0043
PAY_0043_01,ORD_PAY_0043_01,237595,captured,upi,0,0,user_pay_0043_01@example.com,2026-08-16,SETL_0043
PAY_0043_02,ORD_PAY_0043_02,180825,captured,netbanking,2812,506,user_pay_0043_02@example.com,2026-08-15,SETL_0043
PAY_0044_00,ORD_PAY_0044_00,375405,captured,netbanking,5720,1029,user_pay_0044_00@example.com,2026-08-15,SETL_0044
PAY_0044_01,ORD_PAY_0044_01,469371,captured,upi,0,0,user_pay_0044_01@example.com,2026-08-15,SETL_0044
PAY_0044_02,ORD_PAY_0044_02,62995,captured,upi,0,0,user_pay_0044_02@example.com,2026-08-16,SETL_0044
PAY_0045_00,ORD_PAY_0045_00,435381,captured,upi,-45,-9,user_pay_0045_00@example.com,2026-08-15,SETL_0045
PAY_0045_01,ORD_PAY_0045_01,106673,captured,card,2233,401,user_pay_0045_01@example.com,2026-08-15,SETL_0045
